# SYNTETYCZNE DANE -- nie sa to prawdziwe logi lotu. Wygenerowane przez
# generate_synthetic_flights.py do testow sanity, sigma_xy=0.3m sigma_z=0.5m.
segment,step,x,y,z,x_true,y_true,z_true
level_turn,62,-29.988,1.7185,51.1397,-29.9741,1.2474,50.0
level_turn,63,-29.9917,-0.7166,49.8093,-29.9989,-0.2522,50.0
level_turn,64,-29.9714,-2.1978,49.8748,-29.9488,-1.7512,50.0
level_turn,65,-29.7378,-3.3837,49.6158,-29.8239,-3.2459,50.0
level_turn,66,-29.852,-4.1964,49.9202,-29.6244,-4.7324,50.0
level_turn,67,-29.5998,-6.3189,50.4772,-29.3509,-6.2071,50.0
level_turn,68,-29.2094,-7.5217,50.3639,-29.0039,-7.6662,50.0
level_turn,69,-28.3598,-8.6863,49.7248,-28.5845,-9.1062,50.0
level_turn,70,-27.7539,-10.7614,49.8017,-28.0937,-10.5235,50.0
level_turn,71,-27.1738,-11.6677,50.001,-27.5326,-11.9144,50.0
level_turn,72,-27.2602,-13.1071,49.6848,-26.9028,-13.2756,50.0
level_turn,73,-26.4828,-14.798,50.1232,-26.2056,-14.6036,50.0
level_turn,74,-26.0793,-15.7869,50.087,-25.443,-15.8951,50.0
level_turn,75,-24.7921,-16.8358,50.3057,-24.6168,-17.1468,50.0
level_turn,76,-23.9109,-18.5567,50.3476,-23.729,-18.3557,50.0
level_turn,77,-23.2368,-19.6185,49.6845,-22.782,-19.5188,50.0
level_turn,78,-21.757,-20.5696,50.0184,-21.778,-20.633,50.0
level_turn,79,-20.3791,-21.6272,49.8425,-20.7195,-21.6956,50.0
level_turn,80,-19.9726,-22.4875,50.2641,-19.6093,-22.7041,50.0
level_turn,81,-18.0148,-23.88,50.0132,-18.4501,-23.6558,50.0
level_turn,82,-17.2623,-24.5746,50.0052,-17.2447,-24.5483,50.0
level_turn,83,-16.5106,-25.132,50.3266,-15.9963,-25.3795,50.0
level_turn,84,-14.3687,-25.4724,49.8405,-14.7078,-26.1473,50.0
level_turn,85,-13.3935,-26.8467,50.9711,-13.3826,-26.8497,50.0
level_turn,86,-12.5433,-27.3392,49.2646,-12.024,-27.485,50.0
level_turn,87,-11.4097,-28.6578,49.3091,-10.6353,-28.0516,50.0
level_turn,88,-8.8993,-28.8086,49.8863,-9.22,-28.5481,50.0
level_turn,89,-8.1307,-28.7899,49.449,-7.7817,-28.9732,50.0
level_turn,90,-5.9286,-29.6238,49.6176,-6.3239,-29.3259,50.0
level_turn,91,-4.8135,-29.5979,50.7123,-4.8503,-29.6053,50.0
level_turn,92,-3.3285,-30.1731,49.7198,-3.3646,-29.8107,50.0
level_turn,93,-2.0423,-29.7241,50.1919,-1.8705,-29.9416,50.0
level_turn,94,-0.4075,-29.7368,49.7358,-0.3717,-29.9977,50.0
level_turn,95,1.0872,-29.9246,50.7641,1.1281,-29.9788,50.0
level_turn,96,2.5954,-29.9902,49.4771,2.625,-29.8849,50.0
level_turn,97,4.3211,-29.8927,50.1718,4.1153,-29.7164,50.0
level_turn,98,5.0249,-29.1606,49.334,5.5954,-29.4736,50.0
level_turn,99,6.8282,-28.8395,49.3328,7.0614,-29.1571,50.0
level_turn,100,8.486,-28.7455,49.5007,8.5099,-28.7677,50.0
level_turn,101,10.3399,-27.8568,49.0142,9.937,-28.3065,50.0
level_turn,102,10.9046,-27.532,49.3485,11.3393,-27.7744,50.0
level_turn,103,12.5967,-27.1341,50.3459,12.7133,-27.173,50.0
level_turn,104,13.9885,-26.4751,49.6116,14.0555,-26.5036,50.0
level_turn,105,15.7503,-25.9166,50.1699,15.3626,-25.768,50.0
level_turn,106,16.4777,-24.9361,49.9159,16.6312,-24.968,50.0
level_turn,107,17.8096,-24.4097,50.3982,17.8583,-24.1056,50.0
level_turn,108,19.465,-23.11,50.3662,19.0408,-23.1829,50.0
level_turn,109,20.4271,-21.9239,50.1517,20.1757,-22.2023,50.0
level_turn,110,21.3238,-20.907,50.0344,21.2601,-21.1662,50.0
level_turn,111,21.9992,-20.07,49.0558,22.2914,-20.0772,50.0
level_turn,112,23.2652,-18.814,50.618,23.267,-18.938,50.0
level_turn,113,24.2298,-17.473,49.9997,24.1844,-17.7515,50.0
level_turn,114,24.7343,-16.944,49.5151,25.0414,-16.5206,50.0
level_turn,115,25.4259,-15.0583,49.8962,25.8358,-15.2484,50.0
level_turn,116,26.7367,-13.916,50.522,26.5656,-13.9381,50.0
level_turn,117,27.5471,-12.7865,49.8628,27.229,-12.5929,50.0
level_turn,118,27.6645,-11.7027,50.3376,27.8244,-11.2163,50.0
level_turn,119,28.7068,-9.8136,49.7534,28.3502,-9.8116,50.0
ascending_helix,0,20.3273,-0.7035,0.0887,20.0,0.0,0.0
ascending_helix,1,20.018,0.8283,0.8458,19.975,0.9996,0.15
ascending_helix,2,20.1913,1.9183,0.2567,19.9001,1.9967,0.3
ascending_helix,3,19.659,2.8351,-0.2041,19.7754,2.9888,0.45
ascending_helix,4,20.0153,4.2818,0.9991,19.6013,3.9734,0.6
ascending_helix,5,19.0499,5.5723,1.7401,19.3782,4.9481,0.75
ascending_helix,6,19.1631,5.6391,0.4668,19.1067,5.9104,0.9
ascending_helix,7,18.913,6.5841,1.0329,18.7875,6.858,1.05
ascending_helix,8,18.7478,7.3363,2.2029,18.4212,7.7884,1.2
ascending_helix,9,18.479,8.3282,0.6432,18.0089,8.6993,1.35
ascending_helix,10,17.4666,9.2792,1.3681,17.5517,9.5885,1.5
ascending_helix,11,16.2761,10.3851,2.5514,17.0505,10.4537,1.65
ascending_helix,12,16.1717,11.2109,1.0552,16.5067,11.2928,1.8
ascending_helix,13,16.1131,12.0361,2.9204,15.9217,12.1037,1.95
ascending_helix,14,15.3589,12.7727,2.3751,15.2968,12.8844,2.1
ascending_helix,15,14.4819,13.231,2.401,14.6338,13.6328,2.25
ascending_helix,16,13.8817,14.397,2.5877,13.9341,14.3471,2.4
ascending_helix,17,13.0466,15.1521,3.4188,13.1997,15.0256,2.55
ascending_helix,18,12.0999,16.1878,2.5786,12.4322,15.6665,2.7
ascending_helix,19,11.4037,16.9965,2.9275,11.6337,16.2683,2.85
ascending_helix,20,11.2172,17.0747,2.1597,10.806,16.8294,3.0
ascending_helix,21,9.9877,17.1909,2.4791,9.9514,17.3485,3.15
ascending_helix,22,8.5404,17.8548,3.5951,9.0719,17.8241,3.3
ascending_helix,23,8.2869,18.1635,3.0507,8.1697,18.2553,3.45
ascending_helix,24,6.9511,18.4742,3.0835,7.2472,18.6408,3.6
ascending_helix,25,6.2455,18.9728,3.302,6.3064,18.9797,3.75
ascending_helix,26,5.2804,19.0431,3.8978,5.35,19.2712,3.9
ascending_helix,27,4.5323,19.5679,4.2861,4.3801,19.5145,4.05
ascending_helix,28,2.9037,19.5954,4.3384,3.3993,19.709,4.2
ascending_helix,29,2.6024,19.3749,4.4296,2.4101,19.8543,4.35
ascending_helix,30,1.7767,19.8963,4.4526,1.4147,19.9499,4.5
ascending_helix,31,0.551,20.0698,4.9873,0.4159,19.9957,4.65
ascending_helix,32,-0.5623,20.0372,4.4088,-0.584,19.9915,4.8
ascending_helix,33,-1.6335,20.3132,4.8479,-1.5824,19.9373,4.95
ascending_helix,34,-2.6275,19.6858,5.4936,-2.5769,19.8333,5.1
ascending_helix,35,-3.8213,19.9529,4.7815,-3.5649,19.6797,5.25
ascending_helix,36,-4.8614,19.5387,5.4651,-4.544,19.477,5.4
ascending_helix,37,-5.4225,19.5443,5.3438,-5.5118,19.2255,5.55
ascending_helix,38,-6.3329,18.6531,6.3296,-6.4658,18.926,5.7
ascending_helix,39,-7.2139,18.7401,5.9439,-7.4036,18.5792,5.85
ascending_helix,40,-8.5586,18.0877,6.2509,-8.3229,18.1859,6.0
ascending_helix,41,-9.2272,17.7844,5.4701,-9.2215,17.7472,6.15
ascending_helix,42,-10.0426,17.0566,5.7583,-10.0969,17.2642,6.3
ascending_helix,43,-10.9936,16.181,6.7993,-10.9472,16.738,6.45
ascending_helix,44,-11.5144,16.1539,6.1031,-11.77,16.1699,6.6
ascending_helix,45,-12.8471,15.5161,5.5381,-12.5635,15.5615,6.75
ascending_helix,46,-13.2714,15.1134,6.7441,-13.3255,14.9141,6.9
ascending_helix,47,-14.2026,14.2841,7.2253,-14.0543,14.2295,7.05
ascending_helix,48,-14.4196,13.5148,6.8551,-14.7479,13.5093,7.2
ascending_helix,49,-15.543,12.8099,8.1281,-15.4046,12.7553,7.35
ascending_helix,50,-16.119,11.6537,7.0649,-16.0229,11.9694,7.5
ascending_helix,51,-17.23,11.2526,6.9693,-16.6011,11.1537,7.65
ascending_helix,52,-17.5078,9.7172,7.241,-17.1378,10.31,7.8
ascending_helix,53,-17.4611,9.0472,7.0752,-17.6316,9.4406,7.95
ascending_helix,54,-18.028,8.4452,8.3161,-18.0814,8.5476,8.1
ascending_helix,55,-18.2639,7.6307,7.6011,-18.486,7.6332,8.25
ascending_helix,56,-18.8816,6.8498,8.1085,-18.8444,6.6998,8.4
ascending_helix,57,-19.587,6.0803,8.3424,-19.1557,5.7496,8.55
ascending_helix,58,-19.5419,4.7898,9.2152,-19.4192,4.785,8.7
ascending_helix,59,-19.555,3.7085,9.1911,-19.634,3.8085,8.85
ascending_helix,60,-19.1557,3.2387,9.3364,-19.7998,2.8224,9.0
ascending_helix,61,-20.2529,2.9549,8.5507,-19.9162,1.8293,9.15
ascending_helix,62,-20.0942,0.6216,10.1134,-19.9827,0.8316,9.3
ascending_helix,63,-19.8732,-0.5963,9.5838,-19.9993,-0.1681,9.45
ascending_helix,64,-19.8018,-1.263,8.9899,-19.9659,-1.1675,9.6
ascending_helix,65,-20.1001,-2.295,9.7614,-19.8826,-2.1639,9.75
ascending_helix,66,-19.9056,-2.9343,9.425,-19.7496,-3.1549,9.9
ascending_helix,67,-20.0866,-4.3599,10.7244,-19.5672,-4.138,10.05
ascending_helix,68,-19.5079,-4.4086,10.4457,-19.336,-5.1108,10.2
ascending_helix,69,-19.4057,-6.3211,10.4717,-19.0564,-6.0708,10.35
ascending_helix,70,-19.0824,-6.3033,10.0046,-18.7291,-7.0157,10.5
ascending_helix,71,-18.1508,-7.5049,10.5954,-18.3551,-7.943,10.65
ascending_helix,72,-18.2339,-8.9323,10.9811,-17.9352,-8.8504,10.8
ascending_helix,73,-17.2077,-9.7187,10.2499,-17.4704,-9.7357,10.95
ascending_helix,74,-16.9493,-10.7987,10.0084,-16.962,-10.5967,11.1
ascending_helix,75,-16.6205,-11.861,11.5434,-16.4112,-11.4312,11.25
ascending_helix,76,-15.2361,-11.6795,11.1134,-15.8194,-12.2372,11.4
ascending_helix,77,-15.3282,-12.8059,12.0806,-15.188,-13.0125,11.55
ascending_helix,78,-14.6443,-13.7981,12.8035,-14.5186,-13.7553,11.7
ascending_helix,79,-13.8453,-14.6094,11.91,-13.813,-14.4638,11.85
ascending_helix,80,-12.899,-15.4425,11.8758,-13.0729,-15.136,12.0
ascending_helix,81,-12.65,-15.854,13.0885,-12.3,-15.7705,12.15
ascending_helix,82,-11.274,-16.3933,11.8334,-11.4965,-16.3655,12.3
ascending_helix,83,-10.7576,-16.6045,12.1692,-10.6642,-16.9197,12.45
ascending_helix,84,-9.3701,-17.8436,12.455,-9.8052,-17.4315,12.6
ascending_helix,85,-8.3989,-18.5021,13.3442,-8.9217,-17.8998,12.75
ascending_helix,86,-8.5714,-18.3503,12.8137,-8.016,-18.3233,12.9
ascending_helix,87,-6.8429,-19.6474,12.0911,-7.0902,-18.7011,13.05
ascending_helix,88,-6.3165,-19.021,12.7534,-6.1467,-19.032,13.2
ascending_helix,89,-5.254,-19.6713,13.1494,-5.1878,-19.3155,13.35
ascending_helix,90,-4.4699,-19.4774,13.7907,-4.2159,-19.5506,13.5
ascending_helix,91,-2.8036,-19.9338,13.491,-3.2335,-19.7369,13.65
ascending_helix,92,-2.2287,-19.9623,13.774,-2.2431,-19.8738,13.8
ascending_helix,93,-1.7156,-19.8496,13.4924,-1.247,-19.9611,13.95
ascending_helix,94,-0.5349,-20.4749,14.6805,-0.2478,-19.9985,14.1
ascending_helix,95,0.7099,-19.641,14.3862,0.752,-19.9859,14.25
ascending_helix,96,1.239,-20.2484,14.779,1.75,-19.9233,14.4
ascending_helix,97,2.5138,-20.138,14.4603,2.7435,-19.8109,14.55
ascending_helix,98,3.6772,-19.9526,14.5369,3.7302,-19.6491,14.7
ascending_helix,99,4.5641,-20.2151,15.1013,4.7076,-19.4381,14.85
ascending_helix,100,5.4298,-18.7872,14.4249,5.6732,-19.1785,15.0
ascending_helix,101,6.1508,-18.5147,14.3575,6.6247,-18.871,15.15
ascending_helix,102,7.3687,-18.3371,15.1352,7.5596,-18.5163,15.3
ascending_helix,103,7.9789,-18.0589,15.3528,8.4755,-18.1153,15.45
ascending_helix,104,9.7555,-17.4925,17.1179,9.3703,-17.6691,15.6
ascending_helix,105,9.7479,-17.1852,15.2167,10.2417,-17.1787,15.75
ascending_helix,106,11.4339,-16.3988,16.277,11.0875,-16.6453,15.9
ascending_helix,107,11.6724,-16.2939,15.0352,11.9056,-16.0704,16.05
ascending_helix,108,13.2067,-15.3028,16.0696,12.6939,-15.4553,16.2
ascending_helix,109,13.7305,-14.5763,16.8376,13.4504,-14.8015,16.35
ascending_helix,110,13.6863,-14.325,16.5977,14.1734,-14.1108,16.5
ascending_helix,111,14.9676,-13.0976,16.1457,14.8609,-13.3848,16.65
ascending_helix,112,15.5495,-11.9637,17.146,15.5113,-12.6253,16.8
ascending_helix,113,16.3841,-11.8401,17.3338,16.1229,-11.8343,16.95
ascending_helix,114,17.2355,-10.9817,17.712,16.6943,-11.0137,17.1
ascending_helix,115,16.9613,-9.9886,17.7021,17.2238,-10.1656,17.25
ascending_helix,116,17.4848,-8.9626,17.0624,17.7104,-9.292,17.4
ascending_helix,117,17.9111,-8.3956,18.516,18.1527,-8.3953,17.55
ascending_helix,118,18.6423,-7.1968,17.3341,18.5496,-7.4775,17.7
ascending_helix,119,18.9234,-6.8941,17.5644,18.9001,-6.5411,17.85
ascending_helix,120,19.4541,-5.5998,18.7256,19.2034,-5.5883,18.0
ascending_helix,121,19.398,-4.6809,18.7883,19.4587,-4.6216,18.15
ascending_helix,122,19.4708,-4.0992,18.9506,19.6654,-3.6433,18.3
ascending_helix,123,19.9471,-3.3054,18.4723,19.8229,-2.6558,18.45
ascending_helix,124,19.8097,-1.1383,18.2355,19.9308,-1.6618,18.6
ascending_helix,125,19.8148,-0.9367,18.223,19.989,-0.6636,18.75
ascending_helix,126,19.787,-0.0945,18.3844,19.9972,0.3363,18.9
ascending_helix,127,19.4734,0.8861,18.2702,19.9554,1.3353,19.05
ascending_helix,128,19.7074,2.1259,18.5868,19.8637,2.331,19.2
ascending_helix,129,19.8659,3.3064,19.134,19.7224,3.3208,19.35
ascending_helix,130,19.3926,4.7803,19.6199,19.5318,4.3024,19.5
ascending_helix,131,19.4349,4.4974,19.3231,19.2923,5.2732,19.65
ascending_helix,132,18.3533,6.103,19.9867,19.0047,6.2308,19.8
ascending_helix,133,18.4672,7.3285,19.4386,18.6695,7.1729,19.95
ascending_helix,134,18.4604,7.6309,19.9692,18.2877,8.097,20.1
ascending_helix,135,17.9861,9.1617,20.1864,17.8601,9.0009,20.25
ascending_helix,136,17.9699,9.7579,20.1745,17.3879,9.8823,20.4
ascending_helix,137,16.0445,11.2696,20.3655,16.8723,10.739,20.55
ascending_helix,138,15.9617,11.9651,21.3178,16.3145,11.5688,20.7
ascending_helix,139,15.7484,11.9392,21.0595,15.7159,12.3697,20.85
ascending_helix,140,14.8916,12.7885,21.5217,15.078,13.1397,21.0
ascending_helix,141,13.7627,14.047,21.3797,14.4025,13.8769,21.15
ascending_helix,142,14.3062,14.6769,20.2708,13.6909,14.5794,21.3
ascending_helix,143,12.6943,15.2648,21.6278,12.9452,15.2454,21.45
ascending_helix,144,12.4613,15.2855,21.435,12.167,15.8734,21.6
ascending_helix,145,11.6494,16.9248,22.6805,11.3585,16.4616,21.75
ascending_helix,146,10.4045,17.338,22.7559,10.5216,17.0087,21.9
ascending_helix,147,10.0177,17.7304,22.4639,9.6583,17.5133,22.05
ascending_helix,148,8.534,17.54,22.6914,8.7709,17.9742,22.2
ascending_helix,149,7.7575,18.3816,22.0606,7.8617,18.3901,22.35
ascending_helix,150,6.8148,18.8298,21.9891,6.9327,18.76,22.5
ascending_helix,151,6.007,19.1569,22.6113,5.9864,19.083,22.65
ascending_helix,152,4.8021,19.5944,23.7363,5.0252,19.3584,22.8
ascending_helix,153,3.871,19.9557,23.3946,4.0514,19.5854,22.95
ascending_helix,154,2.2715,19.535,22.7821,3.0675,19.7634,23.1
ascending_helix,155,2.3104,19.9485,23.4872,2.0759,19.892,23.25
ascending_helix,156,1.27,19.7012,23.0267,1.0791,19.9709,23.4
ascending_helix,157,-0.2872,19.9488,23.4904,0.0796,19.9998,23.55
ascending_helix,158,-0.8687,19.7606,24.1533,-0.92,19.9788,23.7
ascending_helix,159,-1.6423,20.3718,24.2057,-1.9174,19.9079,23.85
ascending_helix,160,-2.8543,19.9889,24.3049,-2.91,19.7872,24.0
ascending_helix,161,-4.0909,20.0038,25.0093,-3.8953,19.617,24.15
ascending_helix,162,-4.2778,19.4084,24.4621,-4.8709,19.3978,24.3
ascending_helix,163,-5.7094,19.1293,24.7596,-5.8343,19.1301,24.45
ascending_helix,164,-6.8195,18.7565,25.4795,-6.7831,18.8146,24.6
ascending_helix,165,-7.6655,18.4722,25.191,-7.715,18.4521,24.75
ascending_helix,166,-8.5824,18.1309,24.8682,-8.6275,18.0434,24.9
ascending_helix,167,-9.8847,17.5804,24.4816,-9.5186,17.5897,25.05
ascending_helix,168,-10.3227,16.7375,25.6584,-10.3858,17.092,25.2
ascending_helix,169,-11.0023,16.6357,25.2999,-11.227,16.5515,25.35
ascending_helix,170,-11.9153,15.3802,24.9516,-12.0402,15.9697,25.5
ascending_helix,171,-12.868,15.4516,25.6103,-12.8233,15.348,25.65
ascending_helix,172,-13.8758,14.728,25.5731,-13.5744,14.6879,25.8
ascending_helix,173,-14.6121,14.09,25.845,-14.2915,13.9911,25.95
ascending_helix,174,-14.614,13.459,26.4673,-14.9729,13.2594,26.1
ascending_helix,175,-15.5204,12.2409,25.7822,-15.6169,12.4945,26.25
ascending_helix,176,-16.6632,12.562,25.8603,-16.2219,11.6983,26.4
ascending_helix,177,-16.8492,10.7649,26.4095,-16.7863,10.873,26.55
ascending_helix,178,-17.4839,9.4599,26.2009,-17.3087,10.0204,26.7
ascending_helix,179,-18.2051,9.1048,26.5079,-17.7879,9.1428,26.85
ascending_helix,180,-18.4288,8.3071,26.7086,-18.2226,8.2424,27.0
ascending_helix,181,-18.3322,7.2055,27.2626,-18.6118,7.3213,27.15
ascending_helix,182,-19.352,6.579,27.0974,-18.9544,6.382,27.3
ascending_helix,183,-19.1271,5.5257,27.3633,-19.2497,5.4267,27.45
